Stichtag;Geschlecht;Staatsangehörigkeit;Bundesland Schlüssel;Bundesland;Berufsabschluss;Sozialversicherungspflichtig Beschäftigte (SvB)
Jun 25;Frauen;Deutsche;12000000;Brandenburg;Ohne Berufsabschluss;27.710
Jun 25;Frauen;Deutsche;12000000;Brandenburg;Anerkannter Berufsabschluss;267.880
Jun 25;Frauen;Deutsche;12000000;Brandenburg;Akademischer Berufsabschluss;64.430
Jun 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Ohne Berufsabschluss;20.260
Jun 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Anerkannter Berufsabschluss;194.570
Jun 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Akademischer Berufsabschluss;42.600
Jun 25;Frauen;Deutsche;14000000;Sachsen;Ohne Berufsabschluss;46.160
Jun 25;Frauen;Deutsche;14000000;Sachsen;Anerkannter Berufsabschluss;499.030
Jun 25;Frauen;Deutsche;14000000;Sachsen;Akademischer Berufsabschluss;148.200
Jun 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Ohne Berufsabschluss;23.550
Jun 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Anerkannter Berufsabschluss;264.920
Jun 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Akademischer Berufsabschluss;54.370
Jun 25;Frauen;Deutsche;16000000;Thüringen;Ohne Berufsabschluss;21.210
Jun 25;Frauen;Deutsche;16000000;Thüringen;Anerkannter Berufsabschluss;256.340
Jun 25;Frauen;Deutsche;16000000;Thüringen;Akademischer Berufsabschluss;57.060
Mai 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Ohne Berufsabschluss;11.620
Mai 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Anerkannter Berufsabschluss;13.350
Mai 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Akademischer Berufsabschluss;8.470
Mai 25;Frauen;Ausländer;2000000;Hamburg;Ohne Berufsabschluss;15.780
Mai 25;Frauen;Ausländer;2000000;Hamburg;Anerkannter Berufsabschluss;19.940
Mai 25;Frauen;Ausländer;2000000;Hamburg;Akademischer Berufsabschluss;22.500
Mai 25;Frauen;Ausländer;3000000;Niedersachsen;Ohne Berufsabschluss;39.060
Mai 25;Frauen;Ausländer;3000000;Niedersachsen;Anerkannter Berufsabschluss;45.590
Mai 25;Frauen;Ausländer;3000000;Niedersachsen;Akademischer Berufsabschluss;27.940
Mai 25;Frauen;Ausländer;4000000;Bremen;Ohne Berufsabschluss;5.090
Mai 25;Frauen;Ausländer;4000000;Bremen;Anerkannter Berufsabschluss;5.780
Mai 25;Frauen;Ausländer;4000000;Bremen;Akademischer Berufsabschluss;4.780
Mai 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;118.650
Mai 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;137.440
Mai 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;89.110
Mai 25;Frauen;Ausländer;6000000;Hessen;Ohne Berufsabschluss;48.990
Mai 25;Frauen;Ausländer;6000000;Hessen;Anerkannter Berufsabschluss;68.150
Mai 25;Frauen;Ausländer;6000000;Hessen;Akademischer Berufsabschluss;56.140
Mai 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;22.780
Mai 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;29.690
Mai 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;15.970
Mai 25;Frauen;Ausländer;8000000;Baden-Württemberg;Ohne Berufsabschluss;100.770
Mai 25;Frauen;Ausländer;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;148.800
Mai 25;Frauen;Ausländer;8000000;Baden-Württemberg;Akademischer Berufsabschluss;81.500
Mai 25;Frauen;Ausländer;9000000;Bayern;Ohne Berufsabschluss;97.530
Mai 25;Frauen;Ausländer;9000000;Bayern;Anerkannter Berufsabschluss;159.170
Mai 25;Frauen;Ausländer;9000000;Bayern;Akademischer Berufsabschluss;116.750
Mai 25;Frauen;Ausländer;10000000;Saarland;Ohne Berufsabschluss;5.850
Mai 25;Frauen;Ausländer;10000000;Saarland;Anerkannter Berufsabschluss;8.180
Mai 25;Frauen;Ausländer;10000000;Saarland;Akademischer Berufsabschluss;4.040
Mai 25;Frauen;Ausländer;11000000;Berlin;Ohne Berufsabschluss;24.460
Mai 25;Frauen;Ausländer;11000000;Berlin;Anerkannter Berufsabschluss;30.340
Mai 25;Frauen;Ausländer;11000000;Berlin;Akademischer Berufsabschluss;63.460
Mai 25;Frauen;Ausländer;12000000;Brandenburg;Ohne Berufsabschluss;6.980
Mai 25;Frauen;Ausländer;12000000;Brandenburg;Anerkannter Berufsabschluss;10.640
Mai 25;Frauen;Ausländer;12000000;Brandenburg;Akademischer Berufsabschluss;10.200
Mai 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Ohne Berufsabschluss;3.120
Mai 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Anerkannter Berufsabschluss;5.160
Mai 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Akademischer Berufsabschluss;4.490
Mai 25;Frauen;Ausländer;14000000;Sachsen;Ohne Berufsabschluss;9.300
Mai 25;Frauen;Ausländer;14000000;Sachsen;Anerkannter Berufsabschluss;16.610
Mai 25;Frauen;Ausländer;14000000;Sachsen;Akademischer Berufsabschluss;17.410
Mai 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Ohne Berufsabschluss;4.690
Mai 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Anerkannter Berufsabschluss;5.860
Mai 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Akademischer Berufsabschluss;5.650
Mai 25;Frauen;Ausländer;16000000;Thüringen;Ohne Berufsabschluss;6.480
Mai 25;Frauen;Ausländer;16000000;Thüringen;Anerkannter Berufsabschluss;8.160
Mai 25;Frauen;Ausländer;16000000;Thüringen;Akademischer Berufsabschluss;6.670
Mai 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Ohne Berufsabschluss;46.780
Mai 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Anerkannter Berufsabschluss;320.100
Mai 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Akademischer Berufsabschluss;73.970
Mai 25;Frauen;Deutsche;2000000;Hamburg;Ohne Berufsabschluss;40.550
Mai 25;Frauen;Deutsche;2000000;Hamburg;Anerkannter Berufsabschluss;223.440
Mai 25;Frauen;Deutsche;2000000;Hamburg;Akademischer Berufsabschluss;135.350
Mai 25;Frauen;Deutsche;3000000;Niedersachsen;Ohne Berufsabschluss;130.240
Mai 25;Frauen;Deutsche;3000000;Niedersachsen;Anerkannter Berufsabschluss;903.590
Mai 25;Frauen;Deutsche;3000000;Niedersachsen;Akademischer Berufsabschluss;212.120
Mai 25;Frauen;Deutsche;4000000;Bremen;Ohne Berufsabschluss;14.280
Mai 25;Frauen;Deutsche;4000000;Bremen;Anerkannter Berufsabschluss;81.260
Mai 25;Frauen;Deutsche;4000000;Bremen;Akademischer Berufsabschluss;30.310
Mai 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;341.350
Mai 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;1.842.320
Mai 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;581.120
Mai 25;Frauen;Deutsche;6000000;Hessen;Ohne Berufsabschluss;106.960
Mai 25;Frauen;Deutsche;6000000;Hessen;Anerkannter Berufsabschluss;628.790
Mai 25;Frauen;Deutsche;6000000;Hessen;Akademischer Berufsabschluss;256.530
Mai 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;67.390
Mai 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;418.760
Mai 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;98.050
Mai 25;Frauen;Deutsche;8000000;Baden-Württemberg;Ohne Berufsabschluss;192.100
Mai 25;Frauen;Deutsche;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;1.197.550
Mai 25;Frauen;Deutsche;8000000;Baden-Württemberg;Akademischer Berufsabschluss;407.850
Mai 25;Frauen;Deutsche;9000000;Bayern;Ohne Berufsabschluss;198.190
Mai 25;Frauen;Deutsche;9000000;Bayern;Anerkannter Berufsabschluss;1.529.040
Mai 25;Frauen;Deutsche;9000000;Bayern;Akademischer Berufsabschluss;483.350
Mai 25;Frauen;Deutsche;10000000;Saarland;Ohne Berufsabschluss;17.140
Mai 25;Frauen;Deutsche;10000000;Saarland;Anerkannter Berufsabschluss;109.190
Mai 25;Frauen;Deutsche;10000000;Saarland;Akademischer Berufsabschluss;23.940
Mai 25;Frauen;Deutsche;11000000;Berlin;Ohne Berufsabschluss;61.510
Mai 25;Frauen;Deutsche;11000000;Berlin;Anerkannter Berufsabschluss;329.680
Mai 25;Frauen;Deutsche;11000000;Berlin;Akademischer Berufsabschluss;227.050
Mai 25;Frauen;Deutsche;12000000;Brandenburg;Ohne Berufsabschluss;27.830
Mai 25;Frauen;Deutsche;12000000;Brandenburg;Anerkannter Berufsabschluss;268.170
Mai 25;Frauen;Deutsche;12000000;Brandenburg;Akademischer Berufsabschluss;64.230
Mai 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Ohne Berufsabschluss;20.290
Mai 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Anerkannter Berufsabschluss;194.770
Mai 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Akademischer Berufsabschluss;42.500
Mai 25;Frauen;Deutsche;14000000;Sachsen;Ohne Berufsabschluss;46.530
Mai 25;Frauen;Deutsche;14000000;Sachsen;Anerkannter Berufsabschluss;500.330
Mai 25;Frauen;Deutsche;14000000;Sachsen;Akademischer Berufsabschluss;148.200
Mai 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Ohne Berufsabschluss;23.770
Mai 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Anerkannter Berufsabschluss;265.890
Mai 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Akademischer Berufsabschluss;54.450
Mai 25;Frauen;Deutsche;16000000;Thüringen;Ohne Berufsabschluss;21.390
Mai 25;Frauen;Deutsche;16000000;Thüringen;Anerkannter Berufsabschluss;257.630
Mai 25;Frauen;Deutsche;16000000;Thüringen;Akademischer Berufsabschluss;57.260
Apr 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Ohne Berufsabschluss;11.510
Apr 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Anerkannter Berufsabschluss;13.240
Apr 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Akademischer Berufsabschluss;8.350
Apr 25;Frauen;Ausländer;2000000;Hamburg;Ohne Berufsabschluss;15.720
Apr 25;Frauen;Ausländer;2000000;Hamburg;Anerkannter Berufsabschluss;19.830
Apr 25;Frauen;Ausländer;2000000;Hamburg;Akademischer Berufsabschluss;22.320
Apr 25;Frauen;Ausländer;3000000;Niedersachsen;Ohne Berufsabschluss;38.890
Apr 25;Frauen;Ausländer;3000000;Niedersachsen;Anerkannter Berufsabschluss;45.340
Apr 25;Frauen;Ausländer;3000000;Niedersachsen;Akademischer Berufsabschluss;27.660
Apr 25;Frauen;Ausländer;4000000;Bremen;Ohne Berufsabschluss;5.120
Apr 25;Frauen;Ausländer;4000000;Bremen;Anerkannter Berufsabschluss;5.760
Apr 25;Frauen;Ausländer;4000000;Bremen;Akademischer Berufsabschluss;4.730
Apr 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;118.270
Apr 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;136.810
Apr 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;88.030
Apr 25;Frauen;Ausländer;6000000;Hessen;Ohne Berufsabschluss;48.910
Apr 25;Frauen;Ausländer;6000000;Hessen;Anerkannter Berufsabschluss;67.810
Apr 25;Frauen;Ausländer;6000000;Hessen;Akademischer Berufsabschluss;55.640
Apr 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;22.650
Apr 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;29.550
Apr 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;15.780
Apr 25;Frauen;Ausländer;8000000;Baden-Württemberg;Ohne Berufsabschluss;100.600
Apr 25;Frauen;Ausländer;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;148.150
Apr 25;Frauen;Ausländer;8000000;Baden-Württemberg;Akademischer Berufsabschluss;80.750
Apr 25;Frauen;Ausländer;9000000;Bayern;Ohne Berufsabschluss;97.420
Apr 25;Frauen;Ausländer;9000000;Bayern;Anerkannter Berufsabschluss;158.800
Apr 25;Frauen;Ausländer;9000000;Bayern;Akademischer Berufsabschluss;115.870
Apr 25;Frauen;Ausländer;10000000;Saarland;Ohne Berufsabschluss;5.890
Apr 25;Frauen;Ausländer;10000000;Saarland;Anerkannter Berufsabschluss;8.100
Apr 25;Frauen;Ausländer;10000000;Saarland;Akademischer Berufsabschluss;3.970
Apr 25;Frauen;Ausländer;11000000;Berlin;Ohne Berufsabschluss;24.390
Apr 25;Frauen;Ausländer;11000000;Berlin;Anerkannter Berufsabschluss;30.200
Apr 25;Frauen;Ausländer;11000000;Berlin;Akademischer Berufsabschluss;63.190
Apr 25;Frauen;Ausländer;12000000;Brandenburg;Ohne Berufsabschluss;6.940
Apr 25;Frauen;Ausländer;12000000;Brandenburg;Anerkannter Berufsabschluss;10.520
Apr 25;Frauen;Ausländer;12000000;Brandenburg;Akademischer Berufsabschluss;10.080
Apr 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Ohne Berufsabschluss;3.010
Apr 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Anerkannter Berufsabschluss;5.070
Apr 25;Frauen;Ausländer;13000000;Mecklenburg-Vorpommern;Akademischer Berufsabschluss;4.410
Apr 25;Frauen;Ausländer;14000000;Sachsen;Ohne Berufsabschluss;9.200
Apr 25;Frauen;Ausländer;14000000;Sachsen;Anerkannter Berufsabschluss;16.480
Apr 25;Frauen;Ausländer;14000000;Sachsen;Akademischer Berufsabschluss;17.300
Apr 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Ohne Berufsabschluss;4.690
Apr 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Anerkannter Berufsabschluss;5.820
Apr 25;Frauen;Ausländer;15000000;Sachsen-Anhalt;Akademischer Berufsabschluss;5.580
Apr 25;Frauen;Ausländer;16000000;Thüringen;Ohne Berufsabschluss;6.480
Apr 25;Frauen;Ausländer;16000000;Thüringen;Anerkannter Berufsabschluss;8.080
Apr 25;Frauen;Ausländer;16000000;Thüringen;Akademischer Berufsabschluss;6.610
Apr 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Ohne Berufsabschluss;46.970
Apr 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Anerkannter Berufsabschluss;320.360
Apr 25;Frauen;Deutsche;1000000;Schleswig-Holstein;Akademischer Berufsabschluss;73.470
Apr 25;Frauen;Deutsche;2000000;Hamburg;Ohne Berufsabschluss;40.770
Apr 25;Frauen;Deutsche;2000000;Hamburg;Anerkannter Berufsabschluss;223.850
Apr 25;Frauen;Deutsche;2000000;Hamburg;Akademischer Berufsabschluss;134.810
Apr 25;Frauen;Deutsche;3000000;Niedersachsen;Ohne Berufsabschluss;131.140
Apr 25;Frauen;Deutsche;3000000;Niedersachsen;Anerkannter Berufsabschluss;904.680
Apr 25;Frauen;Deutsche;3000000;Niedersachsen;Akademischer Berufsabschluss;211.290
Apr 25;Frauen;Deutsche;4000000;Bremen;Ohne Berufsabschluss;14.400
Apr 25;Frauen;Deutsche;4000000;Bremen;Anerkannter Berufsabschluss;81.320
Apr 25;Frauen;Deutsche;4000000;Bremen;Akademischer Berufsabschluss;30.170
Apr 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;344.080
Apr 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;1.844.340
Apr 25;Frauen;Deutsche;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;578.460
